ISONE Hourly Day-Ahead Locational Marginal Prices ($/megawatt) for Interfaces
Hourly day-ahead locational marginal prices for ISO-NE
Source: EIA collected from ISONE
UTC Timestamp (Interval Ending),Local Timestamp Eastern Time (Interval Beginning),Local Timestamp Eastern Time (Interval Ending),Local Date,Hour Number,Hydro Quebec - Highgate LMP,Hydro Quebec - Phase 1 & 2 LMP,New Brunswick Power - Salisbury LMP,New York Independent System Operator - Northport LMP,New York Independent System Operator - Roseton LMP,New York Independent System Operator - Shoreham LMP,Hydro Quebec - Highgate (Congestion),Hydro Quebec - Phase 1 & 2 (Congestion),New Brunswick Power - Salisbury (Congestion),New York Independent System Operator - Northport (Congestion),New York Independent System Operator - Roseton (Congestion),New York Independent System Operator - Shoreham (Congestion),Hydro Quebec - Highgate (Energy),Hydro Quebec - Phase 1 & 2 (Energy),New Brunswick Power - Salisbury (Energy),New York Independent System Operator - Northport (Energy),New York Independent System Operator - Roseton (Energy),New York Independent System Operator - Shoreham (Energy),Hydro Quebec - Highgate (Loss),Hydro Quebec - Phase 1 & 2 (Loss),New Brunswick Power - Salisbury (Loss),New York Independent System Operator - Northport (Loss),New York Independent System Operator - Roseton (Loss),New York Independent System Operator - Shoreham (Loss)
2022-01-01 06:00:00,2022-01-01 00:00:00,2022-01-01 01:00:00,2022-01-01,24,32.68,32.38,32.08,30.45,30.31,30.64,-0.55,0.23,0.23,-0.54,-0.54,-0.54,32.35,32.35,32.35,32.35,32.35,32.35,0.88,-0.2,-0.5,-1.36,-1.5,-1.17
2022-01-01 07:00:00,2022-01-01 01:00:00,2022-01-01 02:00:00,2022-01-01,1,32.38,32.39,32.22,30.18,30.04,30.37,-0.68,0.28,0.28,-0.67,-0.67,-0.67,32.31,32.31,32.31,32.31,32.31,32.31,0.75,-0.2,-0.37,-1.46,-1.6,-1.27
2022-01-01 08:00:00,2022-01-01 02:00:00,2022-01-01 03:00:00,2022-01-01,2,31.35,30.64,31.36,29.42,29.25,29.6,0.0,0.0,0.0,0.0,0.0,0.0,30.85,30.85,30.85,30.85,30.85,30.85,0.5,-0.21,0.51,-1.43,-1.6,-1.25
2022-01-01 09:00:00,2022-01-01 03:00:00,2022-01-01 04:00:00,2022-01-01,3,30.13,29.48,30.14,28.34,28.21,28.53,0.0,0.0,0.0,0.0,0.0,0.0,29.69,29.69,29.69,29.69,29.69,29.69,0.44,-0.21,0.45,-1.35,-1.48,-1.16
2022-01-01 10:00:00,2022-01-01 04:00:00,2022-01-01 05:00:00,2022-01-01,4,31.35,30.65,31.36,29.36,29.28,29.59,0.0,0.0,0.0,0.0,0.0,0.0,30.86,30.86,30.86,30.86,30.86,30.86,0.49,-0.21,0.5,-1.5,-1.58,-1.27
2022-01-01 11:00:00,2022-01-01 05:00:00,2022-01-01 06:00:00,2022-01-01,5,31.25,30.62,31.36,29.4,29.25,29.58,0.0,0.0,0.0,0.0,0.0,0.0,30.83,30.83,30.83,30.83,30.83,30.83,0.42,-0.21,0.53,-1.43,-1.58,-1.25
2022-01-01 12:00:00,2022-01-01 06:00:00,2022-01-01 07:00:00,2022-01-01,6,31.12,30.46,30.98,29.57,29.43,29.68,0.0,0.0,0.0,0.0,0.0,0.0,30.71,30.71,30.71,30.71,30.71,30.71,0.41,-0.25,0.27,-1.14,-1.28,-1.03
2022-01-01 13:00:00,2022-01-01 07:00:00,2022-01-01 08:00:00,2022-01-01,7,27.9,30.5,31.14,29.66,29.43,29.73,0.0,0.0,0.0,0.0,0.0,0.0,30.76,30.76,30.76,30.76,30.76,30.76,-2.86,-0.26,0.38,-1.1,-1.33,-1.03
2022-01-01 14:00:00,2022-01-01 08:00:00,2022-01-01 09:00:00,2022-01-01,8,29.75,32.38,32.16,31.31,31.1,31.49,0.0,0.0,0.0,0.0,0.0,0.0,32.62,32.62,32.62,32.62,32.62,32.62,-2.87,-0.24,-0.46,-1.31,-1.52,-1.13
2022-01-01 15:00:00,2022-01-01 09:00:00,2022-01-01 10:00:00,2022-01-01,9,30.7,32.96,32.94,32.08,31.85,32.25,0.0,0.0,0.0,0.0,0.0,0.0,33.34,33.34,33.34,33.34,33.34,33.34,-2.64,-0.38,-0.4,-1.26,-1.49,-1.09
