SPP Hourly Day-Ahead Locational Marginal Prices ($/megawatt) for Hubs
Hourly day-ahead locational marginal prices for SPP
Source: EIA collected from SPP
UTC Timestamp (Interval Ending),Local Timestamp Central Time (Interval Beginning),Local Timestamp Central Time (Interval Ending),Local Date,Hour Number,North Hub LMP,South Hub LMP,North Hub (Congestion),South Hub (Congestion),North Hub (Energy),South Hub (Energy),North Hub (Loss),South Hub (Loss)
2022-01-01 07:00:00,2022-01-01 00:00:00,2022-01-01 01:00:00,2022-01-01,1,23.5826,18.6874,-0.1132,-5.0732,24.1721,24.172,-0.4763,-0.4114
2022-01-01 08:00:00,2022-01-01 01:00:00,2022-01-01 02:00:00,2022-01-01,2,24.5917,19.3079,0.0129,-5.4674,25.1767,25.1768,-0.5979,-0.4015
2022-01-01 09:00:00,2022-01-01 02:00:00,2022-01-01 03:00:00,2022-01-01,3,21.2729,13.7726,1.0988,-6.6501,20.7045,20.7044,-0.5304,-0.2817
2022-01-01 10:00:00,2022-01-01 03:00:00,2022-01-01 04:00:00,2022-01-01,4,22.5397,15.642,1.1438,-5.9879,21.9046,21.9045,-0.5087,-0.2746
2022-01-01 11:00:00,2022-01-01 04:00:00,2022-01-01 05:00:00,2022-01-01,5,23.4163,18.9477,0.1407,-4.5836,23.8242,23.8241,-0.5486,-0.2928
2022-01-01 12:00:00,2022-01-01 05:00:00,2022-01-01 06:00:00,2022-01-01,6,25.4367,23.224,-0.6044,-2.9745,26.5014,26.5015,-0.4603,-0.303
2022-01-01 13:00:00,2022-01-01 06:00:00,2022-01-01 07:00:00,2022-01-01,7,26.0686,23.335,-0.4759,-2.8664,26.7671,26.7671,-0.2226,-0.5657
2022-01-01 14:00:00,2022-01-01 07:00:00,2022-01-01 08:00:00,2022-01-01,8,30.6599,22.9276,1.4964,-5.4196,29.2028,29.2027,-0.0393,-0.8555
2022-01-01 15:00:00,2022-01-01 08:00:00,2022-01-01 09:00:00,2022-01-01,9,32.089,25.0537,-0.1376,-6.2579,32.203,32.2031,0.0236,-0.8915
2022-01-01 16:00:00,2022-01-01 09:00:00,2022-01-01 10:00:00,2022-01-01,10,41.7434,23.9824,6.3041,-10.0709,35.1416,35.1416,0.2977,-1.0883
2022-01-01 17:00:00,2022-01-01 10:00:00,2022-01-01 11:00:00,2022-01-01,11,41.8485,28.1789,4.6145,-7.5229,36.913,36.9128,0.321,-1.211
2022-01-01 18:00:00,2022-01-01 11:00:00,2022-01-01 12:00:00,2022-01-01,12,36.8066,29.5632,-0.3124,-6.4099,37.0607,37.0605,0.0583,-1.0874
2022-01-01 19:00:00,2022-01-01 12:00:00,2022-01-01 13:00:00,2022-01-01,13,37.588,29.3041,-0.5634,-8.1076,38.4016,38.4016,-0.2502,-0.9899
2022-01-01 20:00:00,2022-01-01 13:00:00,2022-01-01 14:00:00,2022-01-01,14,31.4268,26.0,-1.7444,-7.0404,33.7304,33.7304,-0.5592,-0.69
2022-01-01 21:00:00,2022-01-01 14:00:00,2022-01-01 15:00:00,2022-01-01,15,29.7768,25.0471,-2.2514,-6.8927,32.6185,32.6186,-0.5903,-0.6788
2022-01-01 22:00:00,2022-01-01 15:00:00,2022-01-01 16:00:00,2022-01-01,16,32.1826,27.6192,-1.9769,-6.2442,34.6786,34.6786,-0.5191,-0.8152
2022-01-01 23:00:00,2022-01-01 16:00:00,2022-01-01 17:00:00,2022-01-01,17,32.3114,32.5512,-2.5961,-1.6259,35.0671,35.0672,-0.1596,-0.8901
2022-01-02 00:00:00,2022-01-01 17:00:00,2022-01-01 18:00:00,2022-01-01,18,45.027,41.3891,-2.303,-4.3719,47.1932,47.1932,0.1368,-1.4322
2022-01-02 01:00:00,2022-01-01 18:00:00,2022-01-01 19:00:00,2022-01-01,19,40.2945,38.7652,-3.5331,-3.6036,43.6452,43.6453,0.1824,-1.2765
2022-01-02 02:00:00,2022-01-01 19:00:00,2022-01-01 20:00:00,2022-01-01,20,43.0528,39.6273,-2.2908,-4.0179,44.9592,44.9591,0.3844,-1.3139
2022-01-02 03:00:00,2022-01-01 20:00:00,2022-01-01 21:00:00,2022-01-01,21,44.0446,37.8197,0.4386,-3.8169,43.0741,43.0742,0.5319,-1.4376
2022-01-02 04:00:00,2022-01-01 21:00:00,2022-01-01 22:00:00,2022-01-01,22,43.2573,37.131,0.7097,-3.5211,42.0854,42.0854,0.4622,-1.4333
2022-01-02 05:00:00,2022-01-01 22:00:00,2022-01-01 23:00:00,2022-01-01,23,40.8023,33.6877,2.6636,-2.898,37.8865,37.8865,0.2522,-1.3008
2022-01-02 06:00:00,2022-01-01 23:00:00,2022-01-02 00:00:00,2022-01-01,24,38.0395,32.666,2.0881,-2.228,36.0041,36.0041,-0.0527,-1.1101
2022-01-02 07:00:00,2022-01-02 00:00:00,2022-01-02 01:00:00,2022-01-02,1,35.0617,22.4641,5.1655,-5.848,29.4551,29.4551,0.4411,-1.143
2022-01-02 08:00:00,2022-01-02 01:00:00,2022-01-02 02:00:00,2022-01-02,2,39.2,25.0989,6.9274,-5.6562,31.8969,31.8969,0.3757,-1.1418
2022-01-02 09:00:00,2022-01-02 02:00:00,2022-01-02 03:00:00,2022-01-02,3,40.2886,26.0569,7.3567,-5.7023,32.745,32.7449,0.1869,-0.9857
2022-01-02 10:00:00,2022-01-02 03:00:00,2022-01-02 04:00:00,2022-01-02,4,39.8,27.7796,6.1732,-5.0265,33.6193,33.6193,0.0075,-0.8132
2022-01-02 11:00:00,2022-01-02 04:00:00,2022-01-02 05:00:00,2022-01-02,5,38.5519,30.045,4.063,-3.8032,34.6082,34.6083,-0.1193,-0.7601
2022-01-02 12:00:00,2022-01-02 05:00:00,2022-01-02 06:00:00,2022-01-02,6,36.2788,34.7201,-0.9218,-2.2715,37.5788,37.5787,-0.3782,-0.5871
2022-01-02 13:00:00,2022-01-02 06:00:00,2022-01-02 07:00:00,2022-01-02,7,40.0318,40.7483,-0.9043,-0.9778,41.8072,41.8072,-0.8711,-0.0811
2022-01-02 14:00:00,2022-01-02 07:00:00,2022-01-02 08:00:00,2022-01-02,8,46.6319,48.5318,-1.1761,-0.7552,49.0183,49.0184,-1.2103,0.2686
2022-01-02 15:00:00,2022-01-02 08:00:00,2022-01-02 09:00:00,2022-01-02,9,50.7451,53.5291,-1.3545,-0.5297,53.4052,53.4052,-1.3056,0.6536
2022-01-02 16:00:00,2022-01-02 09:00:00,2022-01-02 10:00:00,2022-01-02,10,63.7969,65.0763,-0.4752,-0.2511,65.2082,65.2082,-0.9361,0.1192
2022-01-02 17:00:00,2022-01-02 10:00:00,2022-01-02 11:00:00,2022-01-02,11,73.47,74.8275,0.0121,-0.1098,74.6755,74.6756,-1.2176,0.2617
2022-01-02 18:00:00,2022-01-02 11:00:00,2022-01-02 12:00:00,2022-01-02,12,60.9818,62.1559,-0.1285,-0.2169,62.133,62.1331,-1.0227,0.2397
2022-01-02 19:00:00,2022-01-02 12:00:00,2022-01-02 13:00:00,2022-01-02,13,55.8597,57.6353,0.0156,0.4892,56.8431,56.8432,-0.999,0.3029
2022-01-02 20:00:00,2022-01-02 13:00:00,2022-01-02 14:00:00,2022-01-02,14,49.9972,53.1699,0.1261,2.2278,50.6947,50.6947,-0.8236,0.2474
2022-01-02 21:00:00,2022-01-02 14:00:00,2022-01-02 15:00:00,2022-01-02,15,44.6892,47.7824,-0.804,1.0467,46.2842,46.2841,-0.791,0.4516
2022-01-02 22:00:00,2022-01-02 15:00:00,2022-01-02 16:00:00,2022-01-02,16,42.4683,44.8991,-0.8356,0.2065,44.2073,44.2073,-0.9034,0.4853
2022-01-02 23:00:00,2022-01-02 16:00:00,2022-01-02 17:00:00,2022-01-02,17,52.5094,59.4444,-1.1159,4.1166,54.6039,54.6039,-0.9786,0.7239
2022-01-03 00:00:00,2022-01-02 17:00:00,2022-01-02 18:00:00,2022-01-02,18,68.246,79.9836,-3.2951,5.9742,72.889,72.889,-1.3479,1.1204
2022-01-03 01:00:00,2022-01-02 18:00:00,2022-01-02 19:00:00,2022-01-02,19,49.6353,64.7153,-7.8647,4.5881,59.0349,59.0349,-1.5349,1.0923
2022-01-03 02:00:00,2022-01-02 19:00:00,2022-01-02 20:00:00,2022-01-02,20,41.0453,58.5145,-11.0483,3.6428,53.8022,53.8022,-1.7086,1.0695
