Price hub,Trade date,Delivery start date,"Delivery 
end date",High price $/MWh,Low price $/MWh,Wtd avg price $/MWh,Change,Daily volume MWh,Number of trades,Number of counterparties,ISO
Indiana Hub RT Peak,2022-01-04 00:00:00,2022-01-05,2022-01-05,50.0,50.0,50.0,-11.0,800,1,2,MISO
Indiana Hub RT Peak,2022-01-05 00:00:00,2022-01-06,2022-01-06,70.0,68.0,69.0,19.0,4800,6,6,MISO
Indiana Hub RT Peak,2022-01-06 00:00:00,2022-01-07,2022-01-07,81.5,81.5,81.5,12.5,1600,2,3,MISO
Indiana Hub RT Peak,2022-01-07 00:00:00,2022-01-10,2022-01-10,75.0,75.0,75.0,-6.5,800,1,2,MISO
Indiana Hub RT Peak,2022-01-19 00:00:00,2022-01-20,2022-01-20,85.0,80.0,83.93,8.93,5600,7,8,MISO
Indiana Hub RT Peak,2022-01-20 00:00:00,2022-01-21,2022-01-21,87.0,85.0,85.8,1.87,4000,5,5,MISO
Indiana Hub RT Peak,2022-01-25 00:00:00,2022-01-26,2022-01-26,70.0,70.0,70.0,-15.8,800,1,2,MISO
Indiana Hub RT Peak,2022-01-27 00:00:00,2022-01-28,2022-01-28,63.0,60.0,61.38,-8.62,4800,6,6,MISO
Indiana Hub RT Peak,2022-02-02 00:00:00,2022-02-03,2022-02-03,85.0,82.0,83.67,22.29,2400,3,4,MISO
Indiana Hub RT Peak,2022-02-03 00:00:00,2022-02-04,2022-02-04,79.0,79.0,79.0,-4.67,800,1,2,MISO
Indiana Hub RT Peak,2022-02-15 00:00:00,2022-02-09,2022-02-09,50.0,50.0,50.0,-29.0,800,1,2,MISO
Indiana Hub RT Peak,2022-02-22 00:00:00,2022-02-23,2022-02-23,54.0,53.0,53.5,3.5,1600,2,4,MISO
Indiana Hub RT Peak,2022-04-04 00:00:00,2022-04-05,2022-04-05,67.0,67.0,67.0,13.5,800,1,2,MISO
Indiana Hub RT Peak,2022-04-05 00:00:00,2022-04-06,2022-04-06,73.5,73.5,73.5,6.5,800,1,2,MISO
Indiana Hub RT Peak,2022-05-19 00:00:00,2022-05-20,2022-05-20,122.0,121.5,121.75,48.25,1600,2,3,MISO
Indiana Hub RT Peak,2022-06-13 00:00:00,2022-06-14,2022-06-14,195.0,165.0,179.89,58.14,7200,9,10,MISO
Indiana Hub RT Peak,2022-06-14 00:00:00,2022-06-15,2022-06-15,200.0,200.0,200.0,20.11,1600,2,2,MISO
Indiana Hub RT Peak,2022-06-30 00:00:00,2022-07-01,2022-07-01,115.0,115.0,115.0,-85.0,800,1,2,MISO
Indiana Hub RT Peak,2022-07-20 00:00:00,2022-07-21,2022-07-21,147.5,147.5,147.5,32.5,800,1,2,MISO
Indiana Hub RT Peak,2022-07-27 00:00:00,2022-07-28,2022-07-28,115.0,115.0,115.0,-32.5,800,1,2,MISO
Indiana Hub RT Peak,2022-08-01 00:00:00,2022-08-02,2022-08-02,118.0,118.0,118.0,3.0,800,1,2,MISO
Indiana Hub RT Peak,2022-09-12 00:00:00,2022-09-16,2022-09-16,110.0,110.0,110.0,-8.0,800,1,2,MISO
Indiana Hub RT Peak,2022-09-15 00:00:00,2022-09-16,2022-09-16,110.0,110.0,110.0,-8.0,800,1,2,MISO
Indiana Hub RT Peak,2022-09-19 00:00:00,2022-09-20,2022-09-20,140.0,137.0,137.6,27.6,4000,5,3,MISO
Indiana Hub RT Peak,2022-09-20 00:00:00,2022-09-21,2022-09-21,125.0,125.0,125.0,-12.6,1600,2,3,MISO
Indiana Hub RT Peak,2022-09-26 00:00:00,2022-09-27,2022-09-27,62.0,62.0,62.0,-63.0,800,1,2,MISO
Indiana Hub RT Peak,2022-09-30 00:00:00,2022-10-03,2022-10-03,73.0,73.0,73.0,11.0,4800,6,4,MISO
Indiana Hub RT Peak,2022-11-09 00:00:00,2022-11-10,2022-11-10,43.0,43.0,43.0,-30.0,1600,2,3,MISO
Indiana Hub RT Peak,2022-11-11 00:00:00,2022-11-14,2022-11-14,80.0,80.0,80.0,37.0,800,1,2,MISO
Indiana Hub RT Peak,2022-11-14 00:00:00,2022-11-15,2022-11-15,81.0,81.0,81.0,1.0,800,1,2,MISO
Indiana Hub RT Peak,2022-12-19 00:00:00,2022-12-20,2022-12-20,82.0,82.0,82.0,1.0,1600,2,4,MISO
Indiana Hub RT Peak,2022-12-23 00:00:00,2022-12-27,2022-12-27,105.0,105.0,105.0,23.0,800,1,2,MISO
Mid C Peak,2021-12-29 00:00:00,2021-12-30,2021-12-31,68.0,65.0,65.93,-29.49,18400,23,13,Non-ISO (Mid-Columbia)
Mid C Peak,2021-12-30 00:00:00,2022-01-03,2022-01-03,59.0,54.75,56.15,-9.78,18800,46,11,Non-ISO (Mid-Columbia)
Mid C Peak,2022-01-03 00:00:00,2022-01-04,2022-01-04,62.0,54.0,56.71,0.56,12000,29,10,Non-ISO (Mid-Columbia)
Mid C Peak,2022-01-04 00:00:00,2022-01-05,2022-01-05,61.0,55.0,59.66,2.95,13200,33,11,Non-ISO (Mid-Columbia)
Mid C Peak,2022-01-05 00:00:00,2022-01-06,2022-01-06,51.0,47.0,48.39,-11.27,11200,28,12,Non-ISO (Mid-Columbia)
Mid C Peak,2022-01-06 00:00:00,2022-01-07,2022-01-08,37.0,36.0,36.47,-11.92,17600,22,10,Non-ISO (Mid-Columbia)
Mid C Peak,2022-01-07 00:00:00,2022-01-10,2022-01-10,63.0,52.0,59.06,22.59,23600,59,16,Non-ISO (Mid-Columbia)
Mid C Peak,2022-01-10 00:00:00,2022-01-11,2022-01-11,44.0,42.0,43.25,-15.81,18400,46,14,Non-ISO (Mid-Columbia)
Mid C Peak,2022-01-11 00:00:00,2022-01-12,2022-01-12,39.75,38.5,39.19,-4.06,9600,24,6,Non-ISO (Mid-Columbia)
Mid C Peak,2022-01-12 00:00:00,2022-01-13,2022-01-14,39.0,36.5,38.37,-0.82,31200,39,13,Non-ISO (Mid-Columbia)
Mid C Peak,2022-01-13 00:00:00,2022-01-15,2022-01-15,38.0,36.25,37.54,-0.83,11600,29,13,Non-ISO (Mid-Columbia)
Mid C Peak,2022-01-14 00:00:00,2022-01-17,2022-01-18,39.5,38.0,38.87,1.33,36000,44,13,Non-ISO (Mid-Columbia)
Mid C Peak,2022-01-18 00:00:00,2022-01-19,2022-01-19,42.75,38.5,39.65,0.78,29200,69,15,Non-ISO (Mid-Columbia)
Mid C Peak,2022-01-19 00:00:00,2022-01-20,2022-01-20,29.75,25.5,28.0,-11.65,26400,66,17,Non-ISO (Mid-Columbia)
Mid C Peak,2022-01-20 00:00:00,2022-01-21,2022-01-22,39.0,35.0,36.73,8.73,30400,35,10,Non-ISO (Mid-Columbia)
Mid C Peak,2022-01-21 00:00:00,2022-01-24,2022-01-24,38.0,34.0,36.28,-0.45,14800,33,15,Non-ISO (Mid-Columbia)
Mid C Peak,2022-01-24 00:00:00,2022-01-25,2022-01-25,41.5,38.0,38.81,2.53,14000,35,14,Non-ISO (Mid-Columbia)
Mid C Peak,2022-01-25 00:00:00,2022-01-26,2022-01-26,42.0,40.0,41.31,2.5,12000,30,16,Non-ISO (Mid-Columbia)
Mid C Peak,2022-01-26 00:00:00,2022-01-27,2022-01-27,42.0,40.0,40.71,-0.6,11600,27,11,Non-ISO (Mid-Columbia)
Mid C Peak,2022-01-27 00:00:00,2022-01-28,2022-01-29,39.75,37.25,38.64,-2.07,20000,25,14,Non-ISO (Mid-Columbia)
Mid C Peak,2022-01-28 00:00:00,2022-01-31,2022-01-31,38.0,35.0,37.22,-1.42,11200,28,12,Non-ISO (Mid-Columbia)
Mid C Peak,2022-01-31 00:00:00,2022-02-01,2022-02-01,48.0,46.0,46.73,9.51,12400,31,14,Non-ISO (Mid-Columbia)
Mid C Peak,2022-02-01 00:00:00,2022-02-02,2022-02-02,55.0,50.0,51.79,5.06,18400,46,14,Non-ISO (Mid-Columbia)
Mid C Peak,2022-02-02 00:00:00,2022-02-03,2022-02-03,60.0,57.0,58.39,6.6,16800,42,18,Non-ISO (Mid-Columbia)
Mid C Peak,2022-02-03 00:00:00,2022-02-04,2022-02-05,40.0,37.5,38.18,-20.21,14400,18,10,Non-ISO (Mid-Columbia)
Mid C Peak,2022-02-04 00:00:00,2022-02-07,2022-02-07,37.0,34.75,35.45,-2.73,10000,25,15,Non-ISO (Mid-Columbia)
Mid C Peak,2022-02-07 00:00:00,2022-02-08,2022-02-08,37.5,35.0,36.8,1.35,9600,24,9,Non-ISO (Mid-Columbia)
Mid C Peak,2022-02-09 00:00:00,2022-02-10,2022-02-10,31.0,29.5,30.5,-4.88,7200,18,10,Non-ISO (Mid-Columbia)
Mid C Peak,2022-02-10 00:00:00,2022-02-11,2022-02-12,31.0,28.25,29.79,-0.71,20000,25,13,Non-ISO (Mid-Columbia)
